# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 23 2023 at 23:49:42+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.23-21.49.33-26795
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.23-21.49.33-26795
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
12800 9.375 1106.4823523668 1078.06538544187 38.9022221565247 30.5020680427551 33.1399719715118 0 5.76467823982239 75 194826.134138518 194826.134138518 5942600 5942600 128673.242565014 128673.242565014 3924800 3924800 258.579539617245 599550.850635673 8864.93962599202 590685.911009681 1494 3454975 51295 3403680 0 0 0 0 38.6316502094269 1692827412.69839 16241
13312 9.75 1118.76068671659 1078.88167960889 39.7741560935974 31.3740019798279 33.9987733364105 0 5.77768874168396 78 196988.066870579 196988.066870579 6180304 6180304 130101.094614083 130101.094614083 4081792 4081792 262.49342489266 598451.76420541 9109.00666012734 589342.757545283 1520 3456495 52815 3403680 0 0 0 0 39.4926862716675 1692827413.57032 16880
13824 10.125 1129.02567709137 1079.97824054166 40.6846280097961 32.2844738960266 34.8966970443726 0 5.79023909568787 81 198795.495960982 198795.495960982 6418008 6418008 131294.814146613 131294.814146613 4238784 4238784 266.416446431674 597411.928486425 9346.86338230035 588065.065104125 1546 3457995 54315 3403680 0 0 0 0 40.3923616409302 1692827414.48079 17519
14336 10.5 1139.06322803611 1081.36710572421 41.5853180885315 33.185163974762 35.7332651615143 0 5.90620613098145 84 200562.878190441 200562.878190441 6655712 6655712 132462.084663589 132462.084663589 4395776 4395776 278.192972671864 630829.222845329 9508.79985092048 621320.422994408 1692 3945772 55852 3889920 0 0 0 0 41.2820117473602 1692827415.38148 18158
14848 10.875 1119.53701741302 1082.70560726274 43.3699669837952 34.9698128700256 37.4514281749725 0 5.9208459854126 87 197124.760879367 197124.760879367 6893416 6893416 130191.3743983 130191.3743983 4552768 4552768 289.59850655114 666897.882652422 9654.57891647533 657243.303735947 1718 3947276 57356 3889920 0 0 0 0 43.0561382770538 1692827417.16613 18797
15360 11.25 1128.10790687041 1083.61985044095 44.3009750843048 35.9008209705353 38.3696489334106 0 5.93366026878357 90 198633.897699796 198633.897699796 7131120 7131120 131188.086307704 131188.086307704 4709760 4709760 293.357666689378 665719.587752688 9893.23441455901 655826.353338129 1744 3948812 58892 3889920 0 0 0 0 43.9765355587006 1692827418.09714 19436
15872 11.625 1137.61316304451 1084.68644163217 45.1877031326294 36.7875490188599 39.2436945438385 0 5.94637584686279 93 200307.555043208 200307.555043208 7368824 7368824 132293.456068654 132293.456068654 4866752 4866752 297.105896403025 664555.230867107 10128.1818659428 654427.049001164 1770 3950339 60419 3889920 0 0 0 0 44.852662563324 1692827418.98387 20075
16384 12 1144.65054796484 1086.02256947821 46.1409301757812 37.7407760620117 40.1324393749237 0 6.06171417236328 96 201546.67692847 201546.67692847 7606528 7606528 133111.836167479 133111.836167479 5023744 5023744 308.230479396869 696346.743079452 10277.6224590685 686069.120620384 1916 4438113 61953 4376160 0 0 0 0 45.7740073204041 1692827419.9371 20714
16896 12.375 1116.33699800455 1087.0909734755 48.3074581623077 39.9073040485382 42.2353935241699 0 6.07441568374634 99 196561.310943462 196561.310943462 7844232 7844232 129819.242956097 129819.242956097 5180736 5180736 319.166562857003 731110.958884895 10407.168527669 720703.790357226 1942 4439570 63410 4376160 0 0 0 0 47.9510960578918 1692827422.10362 21353
17408 12.75 1123.97589012734 1087.72954697288 49.2373290061951 40.8371748924255 43.1524879932404 0 6.08720898628235 102 197906.344434689 197906.344434689 8081936 8081936 130707.572550275 130707.572550275 5337728 5337728 322.769320647592 729830.572490761 10640.0479260117 719190.524564749 1968 4441116 64956 4376160 0 0 0 0 48.8703870773315 1692827423.03349 21992
17920 13.125 1132.68420908212 1088.4938851659 50.1152231693268 41.7150690555573 44.0173892974854 0 6.10019183158875 105 199439.67943382 199439.67943382 8319640 8319640 131720.26618683 131720.26618683 5494720 5494720 326.345394417749 728525.094872496 10866.97364879 717658.121223706 1994 4442642 66482 4376160 0 0 0 0 49.7377257347107 1692827423.91139 22631
18432 13.5 1138.80786539505 1089.46698624404 51.0763609409332 42.6762068271637 44.9149599075317 0 6.21547627449036 108 200517.914693234 200517.914693234 8557344 8557344 132432.388447481 132432.388447481 5651712 5651712 336.936354044449 758964.069153991 11004.3153549719 747959.753799019 2140 4930411 68011 4862400 0 0 0 0 50.688155412674 1692827424.87253 23270
18944 13.875 1118.12789793018 1090.411858318 53.0730400085449 44.6728858947754 46.847366809845 0 6.22801399230957 111 196876.647295997 196876.647295997 8795048 8795048 130027.507371744 130027.507371744 5808704 5808704 347.271681470764 792154.654219537 11130.6838294163 781023.970390121 2166 4931912 69512 4862400 0 0 0 0 52.673159122467 1692827426.86921 23909
19456 14.25 1125.99745010275 1090.96803923899 53.9597599506378 45.5596058368683 47.7204558849335 0 6.24168014526367 114 198262.294725351 198262.294725351 9032752 9032752 130942.660508541 130942.660508541 5965696 5965696 350.680136271416 790671.515292322 11353.8303717857 779317.684920536 2192 4933450 71050 4862400 0 0 0 0 53.54940533638 1692827427.75593 24548
19968 14.625 1133.74351250073 1091.63312058608 54.8392291069031 46.4390749931335 48.584600687027 0 6.25731825828552 117 199626.198441091 199626.198441091 9270456 9270456 131843.452973714 131843.452973714 6122688 6122688 353.977862691939 788976.205895498 11567.9134143405 777408.292481158 2218 4934968 72568 4862400 0 0 0 0 54.4185762405396 1692827428.6354 25187
20480 15 1139.84200415352 1092.46134447133 55.7751410007477 47.3749868869781 49.4568223953247 0 6.37198662757874 120 200700.00278171 200700.00278171 9508160 9508160 132552.648826718 132552.648826718 6279680 6279680 364.020896006403 818036.778893012 11695.6748487762 806341.104044236 2364 5422734 74094 5348640 0 0 0 0 55.3430743217468 1692827429.57131 25826
20992 15.375 1124.85957662979 1093.35312761949 57.6062960624695 49.2061419487 51.2237224578857 0 6.38488268852234 123 198061.941335709 198061.941335709 9745864 9745864 130810.336780936 130810.336780936 6436672 6436672 373.830393164046 849809.236215419 11802.4490850996 838006.787130319 2390 5424184 75544 5348640 0 0 0 0 57.1641721725464 1692827431.40246 26465
21504 15.75 1131.44776940181 1093.91326134037 58.5129401683807 50.1127860546112 52.1178140640259 0 6.39743518829346 126 199221.970798436 199221.970798436 9983568 9983568 131576.480158466 131576.480158466 6593664 6593664 377.162226458289 848382.4887058 12020.5604620763 836361.928243723 2416 5425726 77086 5348640 0 0 0 0 58.0600879192352 1692827432.30911 27104
22016 16.125 1137.2378707672 1094.57515319077 59.4448840618134 51.0447299480438 53.0371942520142 0 6.41016483306885 129 200241.474690997 200241.474690997 10221272 10221272 132249.813190729 132249.813190729 6750656 6750656 380.480340398438 846956.260538784 12234.2064498994 834722.054088885 2442 5427248 78608 5348640 0 0 0 0 58.9811866283417 1692827433.24105 27743
22528 16.5 1143.20911346623 1095.33945013962 60.3591520786285 51.958997964859 53.8855481147766 0 6.52699685096741 132 201292.873412871 201292.873412871 10458976 10458976 132944.21121577 132944.21121577 6907648 6907648 389.891011883614 874458.498173504 12348.2994088559 862110.198764648 2588 5915024 80144 5834880 0 0 0 0 59.8833835124969 1692827434.15532 28382
23040 16.875 1130.68760901808 1096.25080890631 62.1285221576691 53.7283680438995 55.5912003517151 0 6.53968453407288 135 199088.124010395 199088.124010395 10696680 10696680 131488.080825901 131488.080825901 7064640 7064640 399.246063980344 905004.859117019 12455.8653248243 892548.993792195 2614 5916523 81643 5834880 0 0 0 0 61.6435494422913 1692827435.92469 29021
23552 17.25 1136.86227578113 1096.81027663375 63.0241849422455 54.624030828476 56.4728043079376 0 6.55382966995239 138 200175.341038725 200175.341038725 10934384 10934384 132206.13511069 132206.13511069 7221632 7221632 402.357937530901 903298.759502654 12665.1166573175 890633.642845336 2640 5918067 83187 5834880 0 0 0 0 62.5285091400146 1692827436.82035 29660
24064 17.625 1142.98951930647 1097.4466675862 63.912474155426 55.5123200416565 57.3460099697113 0 6.56884098052979 141 201254.207923871 201254.207923871 11172088 11172088 132918.674529601 132918.674529601 7378624 7378624 405.393210822828 901455.613338689 12867.8079420307 888587.805396658 2666 5919592 84712 5834880 0 0 0 0 63.4062240123749 1692827437.70864 30299
24576 18 1146.97626654886 1098.21542915485 64.8965280056 56.4963738918304 58.264844417572 0 6.68576216697693 144 201956.182565726 201956.182565726 11409792 11409792 133382.294842991 133382.294842991 7535616 7535616 414.374413906132 927855.184633405 12974.3825768964 914880.802056509 2812 6407362 86242 6321120 0 0 0 0 64.3793137073517 1692827438.69269 30938
