# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 21 2023 at 00:11:56+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
12800 6.25 570.236628420247 575.853630679651 44.3550629615784 39.4573040008545 38.7343847751617 0 5.62489628791809 75 325176.803760392 325176.803760392 12830600 12830600 234258.275725068 234258.275725068 9243200 9243200 265.092565448926 1121466.80363827 8974.71769899706 1112492.08593927 1494 6303613 50653 6252960 0 0 0 0 44.0930078029633 1692569555.69911 16241
13312 6.5 574.200746495326 575.677820159189 45.6500570774078 40.752298116684 40.0073556900024 0 5.64696335792542 78 327437.33768813 327437.33768813 13343824 13343824 235886.770666915 235886.770666915 9612928 9612928 268.665643619515 1117355.95544231 9205.87435584388 1108150.08108647 1520 6305111 52151 6252960 0 0 0 0 45.3778491020203 1692569556.99411 16880
13824 6.75 577.794512191824 575.630963916683 46.9542331695557 42.0564742088318 41.2892169952393 0 5.66922330856323 81 329486.678583485 329486.678583485 13857048 13857048 237363.121559621 237363.121559621 9982656 9982656 272.196928049561 1113214.12083364 9429.09929227972 1103785.02154136 1546 6306584 53624 6252960 0 0 0 0 46.6717751026154 1692569558.29828 17519
14336 7 580.763199607094 575.692821240758 48.2889380455017 43.3911790847778 42.5505657196045 0 5.79700875282288 84 331179.569283501 331179.569283501 14370272 14370272 238582.684738146 238582.684738146 10352384 10352384 283.704142488777 1174528.00502034 9570.48390745771 1164957.52111288 1692 7201355 55115 7146240 0 0 0 0 47.9954969882965 1692569559.63299 18158
14848 7.25 570.781135981705 575.22945496445 50.6245679855347 45.7268090248108 44.8099312782288 0 5.81901359558105 87 325487.308592305 325487.308592305 14883496 14883496 234481.964271382 234481.964271382 10722112 10722112 294.773360104581 1238698.36802533 9689.51334985543 1229008.85467547 1718 7202788 56548 7146240 0 0 0 0 50.3213510513306 1692569561.96862 18797
15360 7.5 574.354678105848 575.110377916633 51.9070391654968 47.0092802047729 46.0694167613983 0 5.84207344055176 90 327525.117017996 327525.117017996 15396720 15396720 235950.007140799 235950.007140799 11091840 11091840 298.066555106129 1234077.93469857 9908.3147206285 1224169.61997794 1744 7204286 58046 7146240 0 0 0 0 51.5936322212219 1692569563.25109 19436
15872 7.75 576.589915860778 575.058301907899 53.2857019901276 48.3879430294037 47.4244031906128 0 5.86592149734497 93 328799.758864147 328799.758864147 15909944 15909944 236868.262679304 236868.262679304 11461568 11461568 301.298408493728 1229344.2539726 10119.6001140413 1219224.65385856 1770 7205762 59522 7146240 0 0 0 0 52.961834192276 1692569564.62975 20075
16384 8 577.851398681133 575.089970445878 54.7375621795654 49.8398032188416 48.799329996109 0 5.99750924110413 96 329519.118040806 329519.118040806 16423168 16423168 237386.491035086 237386.491035086 11831296 11831296 311.877330286877 1286419.04930595 10241.263413281 1276177.78589267 1916 8100530 61010 8039520 0 0 0 0 54.3318152427673 1692569566.08161 20714
16896 8.25 562.025376010048 574.157123775985 57.7423479557037 52.8445889949799 51.7265894412994 0 6.02019643783569 99 320494.34619709 320494.34619709 16936392 16936392 230885.020246048 230885.020246048 12201024 12201024 322.153888883605 1346755.68851391 10345.6612912533 1336410.02722266 1942 8101966 62446 8039520 0 0 0 0 57.3979313373566 1692569569.0864 21353
17408 8.5 565.170053738309 573.868189165391 59.040755033493 54.1429960727692 53.0023393630981 0 6.042644739151 102 322287.595177544 322287.595177544 17449616 17449616 232176.881809508 232176.881809508 12570752 12570752 325.250878244286 1341950.51190805 10554.9209393582 1331395.59096869 1968 8103460 63940 8039520 0 0 0 0 58.6860353946686 1692569570.3848 21992
17920 8.75 568.197302186715 573.664618734388 60.3362481594086 55.4384891986847 54.2740154266357 0 6.06645774841309 105 324013.880241639 324013.880241639 17962840 17962840 233420.502380989 233420.502380989 12940480 12940480 328.261894209691 1336921.124157 10756.2680079052 1326164.85614909 1994 8104936 65416 8039520 0 0 0 0 59.971182346344 1692569571.6803 22631
18432 9 570.622383431359 573.535594457262 61.6778659820557 56.7801070213318 55.542147397995 0 6.19515705108643 108 325396.780126862 325396.780126862 18476064 18476064 234416.747312566 234416.747312566 13310208 13310208 338.346677990255 1391559.74691873 10870.6093811522 1380689.13753758 2140 8999694 66894 8932800 0 0 0 0 61.3023085594177 1692569573.02192 23270
18944 9.25 562.323627131429 572.956950199919 64.116327047348 59.2185680866241 57.9034063816071 0 6.21714758872986 111 320664.423567667 320664.423567667 18989288 18989288 231007.544457832 231007.544457832 13679936 13679936 347.984485287509 1448742.14306848 10964.2475197896 1437777.89554869 2166 9001128 68328 8932800 0 0 0 0 63.7306289672852 1692569575.46038 23909
19456 9.5 565.163546451646 572.736977242996 65.4112160205841 60.5134570598602 59.1744205951691 0 6.2413113117218 114 322283.884404555 322283.884404555 19502512 19502512 232174.208558305 232174.208558305 14049664 14049664 350.821191133489 1443437.43636596 11163.4253251728 1432274.01104078 2192 9002627 69827 8932800 0 0 0 0 65.0151581764221 1692569576.75527 24548
19968 9.75 567.523564003102 572.56566281603 66.745411157608 61.8476521968842 60.4863691329956 0 6.26345491409302 117 323629.681791031 323629.681791031 20015736 20015736 233143.724746377 233143.724746377 14419392 14419392 353.728252869032 1438542.02681401 11358.7669998752 1427183.25981413 2218 9004103 71303 8932800 0 0 0 0 66.3389294147491 1692569578.08946 25187
20480 10 568.433117924477 572.415698218653 68.2297480106354 63.3319890499115 61.8949153423309 0 6.39246892929077 120 324148.353904079 324148.353904079 20528960 20528960 233517.377582201 233517.377582201 14789120 14789120 363.071942137914 1489762.63370284 11459.9712101679 1478302.66249267 2364 9898878 72798 9826080 0 0 0 0 67.8126072883606 1692569579.5738 25826
20992 10.25 563.502553078812 572.028686785034 70.3810470104218 65.4832880496979 63.9701583385468 0 6.41541862487793 123 321336.704779245 321336.704779245 21042184 21042184 231491.857716359 231491.857716359 15158848 15158848 372.179290909783 1544267.18458433 11549.8808027724 1532717.30378156 2390 9900337 74257 9826080 0 0 0 0 69.9538505077362 1692569581.7251 26465
21504 10.5 565.81405322965 571.857428610231 71.7041590213776 66.8064000606537 65.2709732055664 0 6.4380419254303 126 322654.835171927 322654.835171927 21555408 21555408 232441.442524991 232441.442524991 15528576 15528576 374.930877027041 1539152.02879174 11747.056926953 1527404.97186479 2416 9901860 75780 9826080 0 0 0 0 71.2666692733765 1692569583.04821 27104
22016 10.75 568.140343669617 571.747026874662 73.0147311687469 68.1169722080231 66.5579905509949 0 6.46216368675232 129 323981.399710551 323981.399710551 22068632 22068632 233397.103315867 233397.103315867 15898304 15898304 377.589893157082 1533769.21674264 11936.363029375 1521832.85371327 2442 9903363 77283 9826080 0 0 0 0 72.5670368671417 1692569584.35878 27743
