# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
180736 88.25 0.134397338415517
181248 88.5 0.134347823220618
181760 88.75 0.134297936119316
182272 89 0.13424771789666
182784 89.25 0.134197237138762
183296 89.5 0.134146553515358
183808 89.75 0.134095690815008
184320 90 0.134044650692355
184832 90.25 0.133993449058706
185344 90.5 0.133942132404516
185856 90.75 0.133890759558432
186368 91 0.133839373022027
186880 91.25 0.133787987496836
187392 91.5 0.133736600535431
187904 91.75 0.133685213683151
188416 92 0.133633848210563
188928 92.25 0.133582539849806
189440 92.5 0.133531309735893
189952 92.75 0.133480136534887
190464 93 0.133428965872693
190976 93.25 0.133377758365593
191488 93.5 0.133326527525498
192000 93.75 0.133275319926548
192512 94 0.133224153170228
193024 94.25 0.133172980084121
193536 94.5 0.133121721886275
194048 94.75 0.133070334827651
194560 95 0.13301883652789
195072 95.25 0.132967265659103
195584 95.5 0.132915625337935
196096 95.75 0.132863876686285
196608 96 0.132811988156107
197120 96.25 0.132759981937818
197632 96.5 0.132707924716865
198144 96.75 0.132655874788836
198656 97 0.132603844068205
199168 97.25 0.132551812667489
199680 97.5 0.13249977588703
200192 97.75 0.13244777423132
200704 98 0.132395881384962
201216 98.25 0.132344169045546
201728 98.5 0.132292684613109
202240 98.75 0.132241456808783
202752 99 0.132190513064015
203264 99.25 0.13213988465735
203776 99.5 0.132089596431756
204288 99.75 0.132039659888479
204800 100 0.131990082942411
205312 100.25 0.131940883873587
205824 100.5 0.131892087482893
206336 100.75 0.131843704321842
206848 101 0.131795718493495
