# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
53248 26 -1.68767389547075e-05 -1.68767413102501e-05 -1.68766350921498e-05
53760 26.25 -1.61962982566115e-05 -1.61963674250069e-05 -1.61960646401188e-05
54272 26.5 -1.59628717402672e-05 -1.59621378590145e-05 -1.59622791120655e-05
54784 26.75 -1.33528474470694e-05 -1.33517839833301e-05 -1.33523711155993e-05
55296 27 -1.62091668723217e-05 -1.61782826776726e-05 -1.61778149914635e-05
55808 27.25 -1.84210020217336e-05 -1.83859756883429e-05 -1.83917630922852e-05
56320 27.5 -1.45313556234106e-05 -1.44964105476215e-05 -1.4507708961598e-05
56832 27.75 -1.18554705780389e-05 -1.18555812988511e-05 -1.18556990992838e-05
57344 28 -1.17284038584762e-05 -1.17280459509525e-05 -1.17285937647263e-05
57856 28.25 -1.22273392729826e-05 -1.22271086010568e-05 -1.22273616997474e-05
58368 28.5 -1.42145271193465e-05 -1.42143965769405e-05 -1.42144815702417e-05
58880 28.75 -1.53921806439799e-05 -1.53920845232205e-05 -1.53921409977108e-05
59392 29 -1.4497666018725e-05 -1.44971715951802e-05 -1.44974136351379e-05
59904 29.25 -1.51518813813656e-05 -1.51499623021872e-05 -1.51509046166896e-05
60416 29.5 -1.42158539423044e-05 -1.42145750459712e-05 -1.4215121323527e-05
60928 29.75 -1.30124765308528e-05 -1.30111091132359e-05 -1.30115998957447e-05
61440 30 -1.69388520980591e-05 -1.69381589093003e-05 -1.69379001175234e-05
61952 30.25 -1.78652640146926e-05 -1.78654463001349e-05 -1.78651777886373e-05
62464 30.5 -1.7311597969732e-05 -1.731184300598e-05 -1.7311601480937e-05
62976 30.75 -1.63072823235779e-05 -1.63030238565297e-05 -1.63073149928163e-05
63488 31 -1.6934287727329e-05 -1.69319168326973e-05 -1.69342080970302e-05
64000 31.25 -1.85042900114627e-05 -1.84990863554379e-05 -1.8497965166975e-05
64512 31.5 -1.87179518493939e-05 -1.87120503299685e-05 -1.87113249626103e-05
65024 31.75 -1.93861331611053e-05 -1.93843207993064e-05 -1.93847064940661e-05
65536 32 -2.01837576560104e-05 -2.01832952802482e-05 -2.01834845653938e-05
66048 32.25 -2.12872828627297e-05 -2.1286595376387e-05 -2.12864531206807e-05
66560 32.5 -2.06590572428557e-05 -2.06591897171745e-05 -2.06593785291785e-05
67072 32.75 -2.26533793666529e-05 -2.26535252640534e-05 -2.26539202464377e-05
67584 33 -2.34357598612657e-05 -2.34353530030303e-05 -2.34358524400898e-05
68096 33.25 -2.48239662311329e-05 -2.48249846336146e-05 -2.48247146868662e-05
68608 33.5 -2.60222188380375e-05 -2.60222486623646e-05 -2.60224231587715e-05
69120 33.75 -2.82184048423989e-05 -2.82180818125663e-05 -2.821834483539e-05
69632 34 -2.95621934491222e-05 -2.95622137389425e-05 -2.95630470243353e-05
70144 34.25 -3.07906899335072e-05 -3.07905912296841e-05 -3.07897298907148e-05
70656 34.5 -3.42475021399773e-05 -3.4247277989168e-05 -3.42473819896349e-05
71168 34.75 -3.85877675295487e-05 -3.85866162201159e-05 -3.85887409165688e-05
71680 35 -4.24819112098906e-05 -4.24814520908504e-05 -4.24834263452772e-05
72192 35.25 -4.33949618107709e-05 -4.33949690089876e-05 -4.33962508027591e-05
72704 35.5 -3.95680849521014e-05 -3.9568032036493e-05 -3.95685834394649e-05
73216 35.75 -3.19605514730566e-05 -3.19609551439803e-05 -3.19608251997274e-05
73728 36 -2.98501282638833e-05 -2.98498310827303e-05 -2.98497872727607e-05
74240 36.25 -2.85955348500919e-05 -2.8595098330353e-05 -2.85950022528834e-05
74752 36.5 -3.06830615226395e-05 -3.06829815410178e-05 -3.06830162510209e-05
75264 36.75 -3.112078690513e-05 -3.11213344920171e-05 -3.11208180900306e-05
75776 37 -3.33502562236004e-05 -3.33507164306917e-05 -3.33489952443118e-05
76288 37.25 -3.53926890267375e-05 -3.53925147677676e-05 -3.53909701157655e-05
76800 37.5 -3.47061951684461e-05 -3.47053153222394e-05 -3.4704608951223e-05
77312 37.75 -3.23636146079955e-05 -3.23632691595687e-05 -3.23633961164652e-05
77824 38 -3.28239100242919e-05 -3.28233451569072e-05 -3.2824068868759e-05
78336 38.25 -3.33852214739801e-05 -3.33839777467094e-05 -3.3384477303209e-05
78848 38.5 -3.42787400285773e-05 -3.42780239289838e-05 -3.42782244918888e-05
79360 38.75 -3.56923930571333e-05 -3.56907162713697e-05 -3.56912406671587e-05
79872 39 -3.92070071173948e-05 -3.92047317226094e-05 -3.92062842887414e-05
80384 39.25 -4.13237145284469e-05 -4.13213205513375e-05 -4.13234728821271e-05
80896 39.5 -4.31125452744722e-05 -4.31104699712594e-05 -4.31126878061224e-05
81408 39.75 -4.46267019993015e-05 -4.46253228953921e-05 -4.46273320054111e-05
81920 40 -4.46272989865837e-05 -4.46268730247563e-05 -4.4628525784163e-05
82432 40.25 -4.24568457044427e-05 -4.24571776814234e-05 -4.24584289031307e-05
82944 40.5 -4.08511554293694e-05 -4.08514535787938e-05 -4.08527432678865e-05
83456 40.75 -4.03192729728392e-05 -4.03174225250036e-05 -4.03187520538684e-05
83968 41 -3.81159499960701e-05 -3.81131025634946e-05 -3.81170558508487e-05
84480 41.25 -3.93016927465185e-05 -3.92996182163075e-05 -3.93048422944526e-05
84992 41.5 -4.05441030993509e-05 -4.0541154821496e-05 -4.05456263375166e-05
85504 41.75 -3.91314974394764e-05 -3.91280239712927e-05 -3.91308399937131e-05
86016 42 -3.82548648788484e-05 -3.8258454985357e-05 -3.82537225096624e-05
86528 42.25 -3.77979056268611e-05 -3.78071159143305e-05 -3.7800139342278e-05
87040 42.5 -3.79404652638251e-05 -3.79445788606778e-05 -3.79423819327812e-05
87552 42.75 -3.91644206940794e-05 -3.91675363843593e-05 -3.91662401264529e-05
88064 43 -3.88898203926812e-05 -3.88913873100078e-05 -3.88907001145762e-05
88576 43.25 -3.85565248332038e-05 -3.85439278200281e-05 -3.85500571980192e-05
89088 43.5 -3.94618484704571e-05 -3.94525531000297e-05 -3.94579875126376e-05
89600 43.75 -3.92008494684841e-05 -3.92028705252065e-05 -3.92032581937824e-05
90112 44 -4.10444499073687e-05 -4.10515696098628e-05 -4.10536704663132e-05
90624 44.25 -4.16744333944212e-05 -4.16813434622142e-05 -4.16763042588178e-05
91136 44.5 -4.19686644872787e-05 -4.19724071877199e-05 -4.19668383773704e-05
91648 44.75 -4.44003790820995e-05 -4.43984195038886e-05 -4.43982487931858e-05
92160 45 -4.92499022856426e-05 -4.92450046939969e-05 -4.92479135540995e-05
92672 45.25 -4.79631504352515e-05 -4.79622541383082e-05 -4.79615052942178e-05
93184 45.5 -4.9154497150806e-05 -4.91484257272716e-05 -4.91545382817617e-05
93696 45.75 -5.02766707625466e-05 -5.02782019296592e-05 -5.02931115394832e-05
94208 46 -5.23179174907578e-05 -5.2310512742402e-05 -5.23246596648759e-05
94720 46.25 -4.69092658386397e-05 -4.68950501926021e-05 -4.69109366771373e-05
95232 46.5 -4.64366687657254e-05 -4.64529592858032e-05 -4.64439263438584e-05
95744 46.75 -4.80052313358939e-05 -4.80121470581024e-05 -4.80042637198622e-05
96256 47 -4.66899964730668e-05 -4.67042532027516e-05 -4.66822487725162e-05
96768 47.25 -4.30869069445628e-05 -4.3090631961439e-05 -4.3083196017139e-05
97280 47.5 -5.31986378911622e-05 -5.32049703734971e-05 -5.32001420163534e-05
97792 47.75 -5.11823539448349e-05 -5.11844913960145e-05 -5.11860070470222e-05
98304 48 -4.16818558586261e-05 -4.16888990037468e-05 -4.1693455693155e-05
98816 48.25 -4.05897429717461e-05 -4.05913552112613e-05 -4.05965044640581e-05
99328 48.5 -4.43295350472226e-05 -4.43262579175248e-05 -4.4334896620029e-05
99840 48.75 -4.34937797214949e-05 -4.34920570163772e-05 -4.34987902761321e-05
100352 49 -4.1640953421967e-05 -4.16451773605805e-05 -4.16536214007475e-05
100864 49.25 -4.13224204531191e-05 -4.13299803912925e-05 -4.13178584381724e-05
101376 49.5 -4.01375725920482e-05 -4.01435746445186e-05 -4.01409203601971e-05
101888 49.75 -3.9791499270647e-05 -3.97823312959837e-05 -3.97754544547755e-05
102400 50 -3.25276303674349e-05 -3.25321785058418e-05 -3.25339967498954e-05
102912 50.25 -3.19458330472784e-05 -3.19476380198486e-05 -3.19450561165124e-05
103424 50.5 -3.44811961826074e-05 -3.44848556219017e-05 -3.44812042294262e-05
103936 50.75 -3.23692134863561e-05 -3.2374038887658e-05 -3.23714473018094e-05
104448 51 -2.65318803323712e-05 -2.65338699314859e-05 -2.65350813857742e-05
104960 51.25 -2.89222055473132e-05 -2.89249733214472e-05 -2.89248329927378e-05
105472 51.5 -2.90765477084796e-05 -2.90794469944738e-05 -2.90786850496221e-05
105984 51.75 -3.83580569628757e-05 -3.83562606472922e-05 -3.83560125746558e-05
106496 52 -4.20233275963878e-05 -4.20171703379677e-05 -4.20149972543261e-05
107008 52.25 -3.62172907525847e-05 -3.62071826807476e-05 -3.62066370042735e-05
107520 52.5 -3.23944870709115e-05 -3.23809982788517e-05 -3.23857752481394e-05
108032 52.75 -4.1917093023936e-05 -4.19017987632449e-05 -4.1910114649232e-05
108544 53 -4.11110874190013e-05 -4.10962338261108e-05 -4.11069674047574e-05
109056 53.25 -3.20738995397158e-05 -3.2068131332067e-05 -3.20621916318364e-05
109568 53.5 -3.31095981001469e-05 -3.31083180316752e-05 -3.31015802055698e-05
110080 53.75 -3.94979727007803e-05 -3.94767485348133e-05 -3.94871224745216e-05
110592 54 -3.96407076889952e-05 -3.96279149750068e-05 -3.9640063115809e-05
111104 54.25 -3.26122951286371e-05 -3.26036124444818e-05 -3.26123837746467e-05
111616 54.5 -3.2854364906666e-05 -3.28413231569451e-05 -3.28593981209795e-05
112128 54.75 -3.17075735485244e-05 -3.16961059943245e-05 -3.17111175910155e-05
112640 55 -3.70185187803831e-05 -3.70178198582215e-05 -3.70208104715019e-05
113152 55.25 -3.73084159783184e-05 -3.73113335387225e-05 -3.73102028493234e-05
