# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
135680 66.25 0.000504128024404282 0.000504177039934836 0.000504202848216561
136192 66.5 0.000499016333475642 0.000499046160733525 0.000499083887725331
136704 66.75 0.000493834438768409 0.000493862521686278 0.000493899256750047
137216 67 0.000488566579605392 0.000488592944380183 0.000488628442719591
137728 67.25 0.000483415388527971 0.00048344009363504 0.000483474244642627
138240 67.5 0.000478408045370269 0.000478430906230117 0.00047846388366499
138752 67.75 0.000473361179804856 0.000473381848586775 0.00047341383385417
139264 68 0.000468092095722126 0.000468110328973248 0.000468141232416959
139776 68.25 0.000462545720151569 0.000462561481083765 0.000462591001248967
140288 68.5 0.000456722790782802 0.000456736213896098 0.000456764002299871
140800 68.75 0.000450613357704395 0.000450624654858147 0.000450650374113551
141312 69 0.000444252991377928 0.000444262282804529 0.000444285644155135
141824 69.25 0.000437776038027168 0.000437783273611197 0.000437804072841286
142336 69.5 0.000431357074827058 0.000431362194542555 0.000431380314196044
142848 69.75 0.000425110591885779 0.000425113666754864 0.000425129152017534
143360 70 0.000419056759438746 0.000419057783133208 0.000419070942941434
143872 70.25 0.000413155167349642 0.000413153735824439 0.000413164976214252
144384 70.5 0.000407341771497138 0.000407337230833711 0.000407346636830504
144896 70.75 0.00040153057854245 0.000401522622730524 0.000401529801387559
145408 71 0.000395775800213899 0.000395754279101349 0.000395743053067305
145920 71.25 0.000390273983707656 0.000390250828825859 0.000390236953478503
146432 71.5 0.000384470430888137 0.000384445671273345 0.000384429282737562
146944 71.75 0.000378479851432637 0.00037845312598126 0.00037843456233972
147456 72 0.000372411935473727 0.000372382911028845 0.000372362325976697
147968 72.25 0.000366249610713997 0.000366218315544414 0.000366195651081274
148480 72.5 0.000359881307193744 0.000359848076953494 0.000359823322870478
148992 72.75 0.00035327971900404 0.000353244811855092 0.000353218114170052
149504 73 0.000347444255076213 0.000347412191543945 0.000347367808656371
150016 73.25 0.000341841453059354 0.000341808342107431 0.000341761970710331
150528 73.5 0.000336149700023843 0.000336115554102337 0.000336067177102724
151040 73.75 0.000330388439324581 0.000330353176785073 0.000330302822277504
151552 74 0.000324606500735524 0.000324569956628352 0.000324517858596863
152064 74.25 0.000318815812958773 0.000318777918675945 0.000318724402847642
152576 74.5 0.000313053684424249 0.00031301452544825 0.000312959714534643
153088 74.75 0.000307411684437849 0.000307371373118157 0.000307315082083262
153600 75 0.000302334742714132 0.00030230267832911 0.000302240168672858
154112 75.25 0.000297740416067033 0.000297707690886413 0.000297643810340871
154624 75.5 0.000293102588179906 0.000293068810591781 0.000293003833374436
155136 75.75 0.000288258481746282 0.00028822383125797 0.000288157363382727
155648 76 0.000283196586117281 0.000283161687102684 0.000283093290242653
156160 76.25 0.000278444134626289 0.00027842536958637 0.000278357468642513
156672 76.5 0.000274034793668301 0.000274016384590012 0.000273946587007213
157184 76.75 0.000269420701254778 0.0002694024090791 0.00026933077973649
157696 77 0.000264746101704538 0.000264728116082021 0.000264654827091751
158208 77.25 0.000260062284620394 0.000260044910461372 0.000259970156055484
158720 77.5 0.000255368456276367 0.000255351339356198 0.000255275657208487
159232 77.75 0.000250721541996555 0.000250704088316253 0.000250628088126557
159744 78 0.00024631585866738 0.000246311761429352 0.000246251472511782
160256 78.25 0.000242446383189346 0.000242442502166358 0.000242382300958932
160768 78.5 0.000238789065087326 0.000238785586900061 0.000238724938550931
161280 78.75 0.000235299467402522 0.000235296240319479 0.000235235330656707
161792 79 0.000231867964084705 0.000231864459444594 0.000231804045506668
162304 79.25 0.00022831244819746 0.000228308489802372 0.000228248630338992
162816 79.5 0.000224452793613391 0.000224448591221606 0.0002243888891469
163328 79.75 0.000220451031606273 0.000220442971867137 0.000220425669816089
163840 80 0.000217062666224091 0.000217054053104353 0.000217037984147216
164352 80.25 0.000213503559179799 0.000213494466962253 0.000213479806096863
164864 80.5 0.000209914726686891 0.000209904890071296 0.000209891762759683
165376 80.75 0.000206423759483257 0.000206413067049656 0.000206401183006759
165888 81 0.000203056777297127 0.000203045602972592 0.000203034456853543
166400 81.25 0.000199731396887355 0.000199720261510858 0.000199709715799678
166912 81.5 0.000196360271715064 0.000196349251715494 0.000196339707139948
167424 81.75 0.000192945067228946 0.000192933561234661 0.000192925571341189
167936 82 0.000189547076595587 0.000189534198205777 0.000189528136432597
168448 82.25 0.000186187568198164 0.000186173162171041 0.000186168901408069
168960 82.5 0.000182805822750441 0.000182790854999505 0.000182787717714968
169472 82.75 0.000179304656974188 0.000179289946377519 0.000179287563233192
169984 83 0.000176165605008132 0.000176146003715447 0.00017616058298452
170496 83.25 0.000173145340836658 0.000173125573903464 0.000173141914882565
171008 83.5 0.000169852871122073 0.000169832132681901 0.000169850626899977
171520 83.75 0.000166519526784264 0.000166497727116366 0.000166517775160357
172032 84 0.000163330086522783 0.000163307718874735 0.000163328884510926
172544 84.25 0.0001603042043929 0.000160281418717059 0.000160303980580919
173056 84.5 0.000157360865728277 0.000157337523947643 0.00015736167528241
173568 84.75 0.000154433040616235 0.000154409212862656 0.000154434997440285
174080 85 0.000151500432830842 0.000151476206149699 0.000151503963424661
174592 85.25 0.000148550637957561 0.000148525826814724 0.000148555679265125
175104 85.5 0.000145552477917773 0.000145526914405291 0.000145558475422639
175616 85.75 0.000142663351191785 0.000142641404647728 0.000142673088864975
176128 86 0.000140104400711791 0.00014008180469948 0.00014011432553999
176640 86.25 0.000137559106154835 0.000137536211595655 0.000137569472583056
177152 86.5 0.000134950856794887 0.000134927492270285 0.000134961507945023
177664 86.75 0.000132283615080178 0.0001322594621328 0.000132294403023059
178176 87 0.000129659562702168 0.000129635027550489 0.00012967136549758
178688 87.25 0.000127211748669204 0.000127192028170624 0.000127221375809234
179200 87.5 0.000124949992996582 0.00012493075807024 0.000124960742512766
179712 87.75 0.000122930641082646 0.000122911700846869 0.000122942942297039
180224 88 0.00012102596298203 0.000121006797738369 0.000121039934937594
180736 88.25 0.000119018308241495 0.00011899870503599 0.000119033243284635
181248 88.5 0.000116846242571283 0.00011682627114054 0.000116860804297362
181760 88.75 0.000114597961516639 0.00011457811316207 0.000114612275508273
182272 89 0.000112532000559152 0.000112517077104473 0.000112543029586594
