# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
17408 8.5 481.015602566123 492.474301328556 68.3749799728394 63.6154000759125 62.3530819416046 0 6.0261561870575 102 274298.612901551 274298.612901551 17449616 17449616 197605.485228408 197605.485228408 12570752 12570752 326.143018332925 1345631.55303686 10584.0383994233 1335047.51463743 1968 8103461 63941 8039520 0 0 0 0 67.9960799217224 1693316129.12629 21992
17920 8.75 485.299493202906 492.274473014033 69.6679518222809 64.908371925354 63.6241714954376 0 6.04806637763977 105 276741.496777298 276741.496777298 17962840 17962840 199365.345581027 199365.345581027 12940480 12940480 329.264118214469 1341003.57089471 10789.7700567255 1330213.80083798 1994 8104939 65419 8039520 0 0 0 0 69.2783880233765 1693316130.41926 22631
18432 9 488.479357342947 492.140493997299 71.0878689289093 66.3282890319824 64.9705014228821 0 6.17275547981262 108 278554.810769974 278554.810769974 18476064 18476064 200671.662035214 200671.662035214 13310208 13310208 339.361661360805 1395736.31821001 10905.3444858873 1384830.97372413 2140 8999707 66907 8932800 0 0 0 0 70.6856806278229 1693316131.83918 23270
18944 9.25 485.065461146399 491.805920223272 73.4101078510284 68.6505279541016 67.2194893360138 0 6.19541049003601 111 276608.04025711 276608.04025711 18989288 18989288 199269.203131928 199269.203131928 13679936 13679936 349.238124551903 1453963.76439111 11006.1700353117 1442957.5943558 2166 9001142 68342 8932800 0 0 0 0 72.998913526535 1693316134.16142 23909
19456 9.5 488.648886405309 491.702439803551 74.7484838962555 69.9889039993286 68.5327835083008 0 6.22037053108215 114 278651.48452942 278651.48452942 19502512 19502512 200741.306080958 200741.306080958 14049664 14049664 352.011819012397 1448337.18456662 11202.2774030316 1437134.90716359 2192 9002634 69834 8932800 0 0 0 0 74.325954914093 1693316135.49979 24548
19968 9.75 492.265368195945 491.664089978756 76.0625848770142 71.3030049800873 69.8218867778778 0 6.24530506134033 117 280713.779252218 280713.779252218 20015736 20015736 202226.988947056 202226.988947056 14419392 14419392 354.768002686493 1442771.60294712 11393.2766608017 1431378.32628632 2218 9004111 71311 8932800 0 0 0 0 75.6297402381897 1693316136.81389 25187
20480 10 495.490950283248 491.693527778659 77.4147918224335 72.6552119255066 71.09792304039 0 6.37723445892334 120 282553.163853522 282553.163853522 20528960 20528960 203552.086740361 203552.086740361 14789120 14789120 364.104444679626 1494000.63949834 11493.9857871343 1482506.6537112 2364 9898886 72806 9826080 0 0 0 0 76.9709937572479 1693316138.1661 25826
20992 10.25 491.814021628879 491.607934304168 79.7879409790039 75.028361082077 73.3928916454315 0 6.39934849739075 123 280456.399373844 280456.399373844 21042184 21042184 202041.571765336 202041.571765336 15158848 15158848 373.10110923994 1548093.45223137 11579.8950308695 1536513.5572005 2390 9900346 74266 9826080 0 0 0 0 79.3333978652954 1693316140.53925 26465
21504 10.5 494.800626636121 491.626711028712 81.1539859771729 76.394406080246 74.7360787391663 0 6.4223473072052 126 282159.507560774 282159.507560774 21555408 21555408 203268.495649911 203268.495649911 15528576 15528576 375.823443772486 1542817.09485653 11775.957052236 1531041.13780429 2416 9901863 75783 9826080 0 0 0 0 80.6885118484497 1693316141.9053 27104
22016 10.75 497.933531345882 491.692856005344 82.4807968139648 77.721216917038 76.0399601459503 0 6.44504070281982 129 283946.04299051 283946.04299051 22068632 22068632 204555.520752722 204555.520752722 15898304 15898304 378.522251947051 1537557.23214959 11966.6130306887 1525590.6191189 2442 9903365 77285 9826080 0 0 0 0 82.0045437812805 1693316143.23211 27743
22528 11 500.64740881167 491.812359777053 83.8571629524231 79.0975830554962 77.3412194252014 0 6.57286620140076 132 285493.628599956 285493.628599956 22581856 22581856 205670.405739023 205670.405739023 16268032 16268032 387.357562178904 1586366.72598779 12062.1057674379 1574304.62022035 2588 10798155 78795 10719360 0 0 0 0 83.3697803020477 1693316144.60847 28382
23040 11.25 497.242465128129 491.889780133305 86.2087779045105 81.4491980075836 79.6176171302795 0 6.59547352790833 135 283551.963247688 283551.963247688 23095080 23095080 204271.624607659 204271.624607659 16637760 16637760 395.98487874915 1638467.54311042 12143.9914366736 1626323.55167375 2614 10799614 80254 10719360 0 0 0 0 85.7108097076416 1693316146.96009 29021
23552 11.5 500.297786118396 491.986350568404 87.5102958679199 82.750715970993 80.8970580101013 0 6.61746215820312 138 285294.256647586 285294.256647586 23608304 23608304 205526.777628869 205526.777628869 17007488 17007488 398.594464114662 1633229.02218471 12334.6538796514 1620894.36830506 2640 10801140 81780 10719360 0 0 0 0 87.001612663269 1693316148.26161 29660
24064 11.75 502.973333755778 492.13319183713 88.8594658374786 84.0998859405518 82.2243876457214 0 6.63935708999634 141 286819.984714973 286819.984714973 24121528 24121528 206625.916380951 206625.916380951 17377216 17377216 401.200999154316 1628079.68313319 12520.7265987017 1615558.95653449 2666 10802649 83289 10719360 0 0 0 0 88.3399686813354 1693316149.61078 30299
24576 12 505.481081979764 492.31585655135 90.2227189540863 85.4631390571594 83.5145585536957 0 6.76426362991333 144 288250.025353314 288250.025353314 24634752 24634752 207656.12164246 207656.12164246 17746944 17746944 409.650311855987 1674969.63837444 12612.2505948238 1662357.38777961 2812 11697444 84804 11612640 0 0 0 0 89.6922554969788 1693316150.97403 30938
25088 12.25 502.196843411421 492.518001997663 92.5737519264221 87.8141720294952 85.7917108535767 0 6.78631114959717 147 286377.19195887 286377.19195887 25147976 25147976 206306.927245353 206306.927245353 18116672 18116672 417.86830388672 1724951.65899839 12688.363145506 1712263.29585288 2838 11698905 86265 11612640 0 0 0 0 92.0326535701752 1693316153.32506 31577
25600 12.5 504.74330857441 492.670762171846 93.9138078689575 89.1542279720306 87.1096043586731 0 6.81001257896423 150 287829.310888659 287829.310888659 25661200 25661200 207353.037769555 207353.037769555 18486400 18486400 420.328403710613 1719557.17995726 12871.0141999176 1706686.16575735 2864 11700424 87784 11612640 0 0 0 0 93.3601794242859 1693316154.66512 32216
26112 12.75 507.32129820195 492.858271887685 95.234787940979 90.4752080440521 88.4045855998993 0 6.83552169799805 153 289299.40660933 289299.40660933 26174424 26174424 208412.098824012 208412.098824012 18856128 18856128 422.535066441939 1713230.94333838 13041.1949093033 1700189.74842908 2890 11701925 89285 11612640 0 0 0 0 94.6701526641846 1693316155.9861 32855
26624 13 509.560010362145 493.081272915374 96.6035218238831 91.8439419269562 89.6973340511322 0 6.96101117134094 156 290576.029731224 290576.029731224 26687648 26687648 209331.781679083 209331.781679083 19225856 19225856 430.338719101494 1757153.78719949 13117.8014529881 1744035.98574651 3036 12596715 90795 12505920 0 0 0 0 96.0260910987854 1693316157.35483 33494
27136 13.25 506.513180890247 493.354276223452 98.932844877243 94.1732649803162 91.9539666175842 0 6.98315143585205 159 288838.57861024 288838.57861024 27200872 27200872 208080.117049099 208080.117049099 19595584 19595584 438.179301346561 1805156.00520246 13188.9390494254 1791967.06615303 3062 12598177 92257 12505920 0 0 0 0 98.3464677333832 1693316159.68415 34133
27648 13.5 508.99931788062 493.541646937973 100.241043806076 95.4814639091492 93.239718914032 0 7.00557279586792 162 290256.295466626 290256.295466626 27714096 27714096 209101.44422374 209101.44422374 19965312 19965312 440.488057268203 1799586.53458824 13364.6133328747 1786221.92125537 3088 12599699 93779 12505920 0 0 0 0 99.6438908576965 1693316160.99235 34772
28160 13.75 511.166066315821 493.7616030759 101.596993923187 96.8374140262604 94.573477268219 0 7.02780175209045 165 291491.881354301 291491.881354301 28227320 28227320 209991.563740906 209991.563740906 20335040 20335040 442.798124184708 1794113.20838634 13535.0999606093 1780578.10842573 3114 12601195 95275 12505920 0 0 0 0 100.988993644714 1693316162.3483 35411
28672 14 513.141450293394 494.013803734218 102.978111982346 98.2185320854187 95.8813533782959 0 7.15342593193054 168 292618.341872641 292618.341872641 28740544 28740544 210803.069037862 210803.069037862 20704768 20704768 450.346443822429 1836684.70737641 13610.157170188 1823074.55020622 3260 13495989 96789 13399200 0 0 0 0 102.357205629349 1693316163.72942 36050
29184 14.25 509.477741510546 494.336712792955 105.450926780701 100.691346883774 98.2778544425964 0 7.17730522155762 171 290529.116010009 290529.116010009 29253768 29253768 209297.984903568 209297.984903568 21074496 21074496 457.54452838369 1881653.8247218 13667.6441249874 1867986.18059681 3286 13497452 98252 13399200 0 0 0 0 104.821231842041 1693316166.20224 36689
29696 14.5 511.812775623886 494.535653652943 106.75 101.990420103073 99.5545353889465 0 7.19969367980957 174 291860.666618659 291860.666618659 29766992 29766992 210257.237673187 210257.237673187 21444224 21444224 459.734037871348 1876010.33841006 13837.3274530528 1862173.010957 3312 13498974 99774 13399200 0 0 0 0 106.109577417374 1693316167.50131 37328
30208 14.75 513.947320626004 494.762424977287 108.077561855316 103.317981958389 100.860171079636 0 7.22170662879944 177 293077.8885344 293077.8885344 30280216 30280216 211134.12773379 211134.12773379 21813952 21813952 461.93979287281 1870516.84183292 14001.0431942383 1856515.79863868 3338 13500464 101264 13399200 0 0 0 0 107.426424980164 1693316168.82887 37967
30720 15 515.277102406604 495.038630117419 109.557560920715 104.797981023788 102.266433000565 0 7.34936380386353 180 293836.195117252 293836.195117252 30793440 30793440 211680.413909543 211680.413909543 22183680 22183680 469.063228276111 1911058.91332543 14068.4680235152 1896990.44530191 3484 14395256 102776 14292480 0 0 0 0 108.895203828812 1693316170.30887 38606
31232 15.25 512.278680746847 495.37313414734 111.927810907364 107.168231010437 104.559430122375 0 7.39595890045166 183 292126.348497355 292126.348497355 31306664 31306664 210448.635639078 210448.635639078 22553408 22553408 475.816886003336 1953822.34171855 14118.027153528 1939704.31456502 3510 14396719 104239 14292480 0 0 0 0 111.254828691483 1693316172.67912 39245
31744 15.5 514.355316062607 495.582088051238 113.244897842407 108.48531794548 105.800077676773 0 7.44907927513123 186 293310.547478795 293310.547478795 31819888 31819888 211301.735885773 211301.735885773 22923136 22923136 474.423817018976 1933966.6613389 14178.1799494963 1919788.4813894 3536 14398243 105763 14292480 0 0 0 0 112.561270475388 1693316173.99621 39884
32256 15.75 516.192546377609 495.815552692748 114.602312803268 109.842732906342 107.135567903519 0 7.47095489501953 189 294358.226024558 294358.226024558 32333112 32333112 212056.486430112 212056.486430112 23292864 23292864 476.512864410199 1928488.81183588 14337.4390631168 1914151.37277276 3562 14399743 107263 14292480 0 0 0 0 113.907940149307 1693316175.35362 40523
32768 16 517.79431653057 496.077947868702 116.000661849976 111.241081953049 108.460996866226 0 7.59521007537842 192 295271.633674539 295271.633674539 32846336 32846336 212714.507846905 212714.507846905 23662592 23662592 483.310599058989 1967337.01457166 14401.4356385903 1952935.57893307 3708 15294542 108782 15185760 0 0 0 0 115.257875204086 1693316176.75197 41162
33280 16.25 512.428412658978 496.449961590152 118.921867847443 114.162287950516 111.308828830719 0 7.61752843856812 195 292211.732953879 292211.732953879 33359560 33359560 210510.146839532 210510.146839532 24032320 24032320 489.948887928497 2009157.17972804 14453.0981331229 1994704.08159492 3734 15296003 110243 15185760 0 0 0 0 118.205951452255 1693316179.67318 41801
33792 16.5 514.342781835869 496.638481480389 120.2467648983 115.487185001373 112.610828638077 0 7.64059138298035 198 293303.399849925 293303.399849925 33872784 33872784 211296.586714014 211296.586714014 24402048 24402048 491.884671636863 2003332.72550817 14609.9962333547 1988722.72927482 3760 15297528 111768 15185760 0 0 0 0 119.519870519638 1693316180.99808 42440
34304 16.75 515.919407542599 496.852145286362 121.638299942017 116.87872004509 113.97961306572 0 7.66319966316223 201 294202.468907381 294202.468907381 34386008 34386008 211944.278568789 211944.278568789 24771776 24771776 493.818334799008 1997577.94607697 14762.8440522779 1982815.10202469 3786 15299036 113276 15185760 0 0 0 0 120.899089336395 1693316182.38961 43079
34816 17 517.574565262428 497.07533785202 123.003412008286 118.243832111359 115.269660949707 0 7.79063200950623 204 295146.320758049 295146.320758049 34899232 34899232 212624.232072608 212624.232072608 25141504 25141504 500.145397841518 2034245.72123371 14816.8720627351 2019428.84917098 3932 16193830 114790 16079040 0 0 0 0 122.253169536591 1693316183.75472 43718
