# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 24 2023 at 15:43:31+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.24-13.43.24-7852
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
25088 18.375 136.409833487999 127.013959503655 491.489518880844 484.935714006424 484.54324221611 0 6.94968581199646 147 24018.6393032824 24018.6393032824 11647496 11647496 15863.1500584799 15863.1500584799 7692608 7692608 407.988356465582 922597.430150807 12596.2446103278 910001.185540479 2838 6408834 87714 6321120 0 0 0 0 490.577950716019 1692885096.55522 31577
25600 18.75 137.860011227452 127.112087794707 496.180922985077 489.627118110657 489.21485877037 0 6.9684910774231 150 24273.9823028224 24273.9823028224 11885200 11885200 16031.7917649038 16031.7917649038 7849600 7849600 410.561819680345 920199.527656831 12783.2585596906 907416.26909714 2864 6410379 89259 6321120 0 0 0 0 495.255517721176 1692885101.24662 32216
26112 19.125 138.298549736003 127.277734467346 504.38982796669 497.83602309227 497.410542488098 0 6.98162341117859 153 24351.1988640346 24351.1988640346 12122904 12122904 16082.7895704848 16082.7895704848 8006592 8006592 413.509378410217 918674.127841174 12976.8298313357 905697.298009838 2890 6411905 90785 6321120 0 0 0 0 503.453588008881 1692885109.45553 32855
26624 19.5 139.586305631768 127.391298367587 509.468468904495 502.914664030075 502.416785955429 0 7.10430216789246 156 24577.943106588 24577.943106588 12360608 12360608 16232.54318055 16232.54318055 8163584 8163584 421.459674444605 942407.656158174 13063.5481863516 929344.107971822 3036 6899689 92329 6807360 0 0 0 0 508.506039142609 1692885114.53417 33494
27136 19.875 139.334380262546 127.636605134225 520.066692829132 513.512887954712 512.952277183533 0 7.12304854393005 159 24533.5848340209 24533.5848340209 12598312 12598312 16203.2466860575 16203.2466860575 8320576 8320576 429.831507228782 969998.710191836 13158.3540607309 956840.356131105 3062 6901190 93830 6807360 0 0 0 0 519.094558238983 1692885125.13239 34133
27648 20.25 140.296405164144 127.780865809347 526.167973995209 519.614169120789 519.028116941452 0 7.14241003990173 162 24702.9753282501 24702.9753282501 12836016 12836016 16315.1209181698 16315.1209181698 8477568 8477568 431.941420784793 966759.691129693 13328.8382783416 953430.852851351 3088 6902738 95378 6807360 0 0 0 0 525.176316976547 1692885131.23367 34772
28160 20.625 140.445851217337 127.996582011533 535.227306842804 528.673501968384 528.07372713089 0 7.15651488304138 165 24729.2893464932 24729.2893464932 13073720 13073720 16332.500055046 16332.500055046 8634560 8634560 434.747374775232 965118.343268269 13516.4496509299 951601.893617339 3114 6904265 96905 6807360 0 0 0 0 534.214998722076 1692885140.29301 35411
28672 21 140.854945448067 128.183775990683 543.276173830032 536.722368955612 536.05748963356 0 7.27241349220276 168 24801.3214465091 24801.3214465091 13311424 13311424 16380.073774654 16380.073774654 8791552 8791552 442.739966594177 988811.645685839 13608.9898555211 975202.655830318 3260 7392039 98439 7293600 0 0 0 0 542.250648498535 1692885148.34187 36050
29184 21.375 139.619369003506 128.464048091555 557.69510102272 551.1412961483 550.412118196487 0 7.28977584838867 171 24583.764807118 24583.764807118 13549128 13549128 16236.3881322951 16236.3881322951 8948544 8948544 450.639535792727 1015145.05476654 13687.249081646 1001457.8056849 3286 7393500 99900 7293600 0 0 0 0 556.660007476807 1692885162.7608 36689
29696 21.75 139.439840952018 128.657822000725 568.086287021637 561.532482147217 560.784842729568 0 7.30429935455322 174 24552.1540397471 24552.1540397471 13786832 13786832 16215.5107486958 16215.5107486958 9105536 9105536 453.061047605809 1012789.75832671 13864.1063261913 998925.652000522 3312 7395039 101439 7293600 0 0 0 0 567.027887582779 1692885173.15199 37328
