# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
36352 35.5 -0.191858197105426 -0.191858197105427 -0.191858197105425
36864 36 -0.193189758494841 -0.193189758494842 -0.193189758494841
37376 36.5 -0.194502546861099 -0.1945025468611 -0.194502546861099
37888 37 -0.195801002260605 -0.195801002260606 -0.195801002260605
38400 37.5 -0.19708968319345 -0.19708968319345 -0.197089683193449
38912 38 -0.198371464855352 -0.198371464855352 -0.198371464855351
39424 38.5 -0.199644580985106 -0.199644580985106 -0.199644580985105
39936 39 -0.200906228991253 -0.200906228991253 -0.200906228991252
40448 39.5 -0.202154177079461 -0.202154177079461 -0.20215417707946
40960 40 -0.203386830994825 -0.203386830994827 -0.203386830994825
41472 40.5 -0.204603983351889 -0.20460398335189 -0.204603983351889
41984 41 -0.205804664845538 -0.205804664845538 -0.205804664845538
42496 41.5 -0.206984609318963 -0.206984609318964 -0.206984609318962
43008 42 -0.208942228475068 -0.20894222847507 -0.208942228475068
43520 42.5 -0.211238123135717 -0.21123812313572 -0.211238123135717
44032 43 -0.213495502716026 -0.213495502716028 -0.213495502716025
44544 43.5 -0.21571498825426 -0.215714988254261 -0.21571498825426
45056 44 -0.217893448644322 -0.217893448644322 -0.217893448644321
45568 44.5 -0.220014179792871 -0.220014179792872 -0.22001417979287
46080 45 -0.222064127867431 -0.222064127867433 -0.222064127867431
46592 45.5 -0.224035318612722 -0.224035318612724 -0.224035318612722
47104 46 -0.225924000503516 -0.225924000503518 -0.225924000503517
47616 46.5 -0.227728782317484 -0.227728782317485 -0.227728782317483
48128 47 -0.229449206515182 -0.229449206515184 -0.229449206515182
48640 47.5 -0.231085303517132 -0.231085303517134 -0.231085303517133
49152 48 -0.232637391099719 -0.232637391099719 -0.23263739109972
49664 48.5 -0.234104091001016 -0.234104091001016 -0.234104091001016
50176 49 -0.235484664554649 -0.235484664554649 -0.235484664554647
50688 49.5 -0.236792540332763 -0.236792540332764 -0.236792540332762
51200 50 -0.238039130814973 -0.238039130814974 -0.238039130814973
51712 50.5 -0.239223619549058 -0.239223619549057 -0.239223619549057
52224 51 -0.240349183881549 -0.240349183881549 -0.240349183881549
52736 51.5 -0.241418610917137 -0.241418610917137 -0.241418610917137
53248 52 -0.242433893398619 -0.24243389339862 -0.24243389339862
53760 52.5 -0.243398471378913 -0.243398471378915 -0.243398471378913
54272 53 -0.244344434472866 -0.244344434472867 -0.244344434472865
54784 53.5 -0.245257738486094 -0.245257738486095 -0.245257738486093
55296 54 -0.246130679494091 -0.246130679494092 -0.246130679494092
55808 54.5 -0.246965673279269 -0.246965673279268 -0.246965673279268
56320 55 -0.24776662931462 -0.24776662931462 -0.247766629314619
56832 55.5 -0.248513009307745 -0.248513009307744 -0.248513009307743
57344 56 -0.249208463980536 -0.249208463980537 -0.249208463980536
57856 56.5 -0.249870422057527 -0.249870422057528 -0.249870422057527
58368 57 -0.250501924679192 -0.250501924679191 -0.25050192467919
58880 57.5 -0.251789466437089 -0.251789466437091 -0.251789466437087
59392 58 -0.253852281643437 -0.253852281643438 -0.253852281643434
59904 58.5 -0.255821869627928 -0.255821869627929 -0.255821869627925
60416 59 -0.257698176268078 -0.25769817626808 -0.257698176268077
60928 59.5 -0.25948143758062 -0.259481437580622 -0.259481437580619
61440 60 -0.261173007396117 -0.26117300739612 -0.261173007396115
61952 60.5 -0.262774373857256 -0.262774373857258 -0.262774373857254
62464 61 -0.264286172759633 -0.264286172759636 -0.264286172759631
62976 61.5 -0.26571180401198 -0.265711804011982 -0.265711804011979
63488 62 -0.267054150742949 -0.26705415074295 -0.267054150742947
64000 62.5 -0.268316241160991 -0.268316241160991 -0.268316241160989
64512 63 -0.269501556683814 -0.269501556683814 -0.269501556683812
65024 63.5 -0.271083926123818 -0.271083926123818 -0.271083926123815
65536 64 -0.273072519905958 -0.27307251990596 -0.273072519905956
66048 64.5 -0.27496700308225 -0.274967003082255 -0.274967003082249
66560 65 -0.276770397963979 -0.276770397963982 -0.276770397963978
67072 65.5 -0.278486265663291 -0.27848626566329 -0.278486265663289
67584 66 -0.280118205517441 -0.28011820551744 -0.28011820551744
68096 66.5 -0.281669638160457 -0.281669638160457 -0.281669638160456
68608 67 -0.283143266897831 -0.283143266897833 -0.28314326689783
69120 67.5 -0.284540608532301 -0.284540608532303 -0.284540608532298
69632 68 -0.285862622755225 -0.285862622755228 -0.285862622755224
70144 68.5 -0.287108046127669 -0.287108046127672 -0.28710804612767
70656 69 -0.288279127921476 -0.288279127921477 -0.288279127921476
71168 69.5 -0.289381003072247 -0.289381003072247 -0.289381003072245
71680 70 -0.290416683790361 -0.290416683790361 -0.290416683790359
72192 70.5 -0.291387217262646 -0.291387217262646 -0.291387217262645
72704 71 -0.292293731823146 -0.292293731823148 -0.292293731823145
73216 71.5 -0.293138388727893 -0.293138388727894 -0.293138388727893
73728 72 -0.293923211759984 -0.293923211759984 -0.293923211759984
74240 72.5 -0.29464982082923 -0.294649820829229 -0.29464982082923
74752 73 -0.29532097086375 -0.295320970863748 -0.29532097086375
75264 73.5 -0.295940833299973 -0.29594083329997 -0.295940833299972
75776 74 -0.29651752138575 -0.296517521385746 -0.296517521385746
76288 74.5 -0.297060079698215 -0.297060079698214 -0.29706007969821
76800 75 -0.297570349354391 -0.297570349354391 -0.297570349354387
