# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
181760 177.5 9.8775639259872e-05
182272 178 9.90060627669487e-05
182784 178.5 9.92395680681274e-05
183296 179 9.94702962868267e-05
183808 179.5 9.96984447013354e-05
184320 180 9.99267754929168e-05
184832 180.5 0.000100159023290267
185344 181 0.000100389163153479
185856 181.5 0.000100619229044525
186368 182 0.000100845561885105
186880 182.5 0.000101076210702679
187392 183 0.000101307467617049
187904 183.5 0.000101536814473846
188416 184 0.000101765285604947
188928 184.5 0.000101991978418937
189440 185 0.000102223263539634
189952 185.5 0.000102450765061699
190464 186 0.000102679976751122
190976 186.5 0.000102905251660862
191488 187 0.000103134876336999
192000 187.5 0.000103361866701903
192512 188 0.000103589656758787
193024 188.5 0.000103815758785735
193536 189 0.000104041829951934
194048 189.5 0.000104269737277305
194560 190 0.000104495372937227
195072 190.5 0.000104720741096703
195584 191 0.000104944101985522
196096 191.5 0.000105171020337161
196608 192 0.000105396884871586
197120 192.5 0.00010562271308274
197632 193 0.00010584781371276
198144 193.5 0.000106073585106336
198656 194 0.000106300484931662
199168 194.5 0.000106527368471876
199680 195 0.000106752824387339
200192 195.5 0.000106979402161956
200704 196 0.00010720431056724
201216 196.5 0.000107432114662408
201728 197 0.000107655712013276
202240 197.5 0.000107880784067914
202752 198 0.00010810625112102
203264 198.5 0.000108333289871379
203776 199 0.000108560355260406
204288 199.5 0.000108783369825889
204800 200 0.000109008680035435
205312 200.5 0.000109233643455444
205824 201 0.000109461167734405
206336 201.5 0.000109686217000552
206848 202 0.00010991001007256
207360 202.5 0.00011013487599067
207872 203 0.000110359231833238
208384 203.5 0.000110585533129056
208896 204 0.000110809287069932
209408 204.5 0.000111033512060408
209920 205 0.00011125740030579
210432 205.5 0.000111480110506217
210944 206 0.000111703138018044
211456 206.5 0.00011192378804666
211968 207 0.000112148091476918
212480 207.5 0.000112369310012479
212992 208 0.000112592648765265
213504 208.5 0.000112811487229466
214016 209 0.000113032793211248
214528 209.5 0.000113253577876225
215040 210 0.000113474463752396
215552 210.5 0.000113695714822317
216064 211 0.000113913372163922
216576 211.5 0.000114134424124855
217088 212 0.000114351767909663
217600 212.5 0.000114573106237843
218112 213 0.000114788896465146
218624 213.5 0.000115008519225162
219136 214 0.000115224771056807
219648 214.5 0.000115443042688942
220160 215 0.00011565872165077
220672 215.5 0.000115874601512921
221184 216 0.000116090557255345
221696 216.5 0.000116304844893025
222208 217 0.00011652020077275
222720 217.5 0.00011673269374328
223232 218 0.00011694757082979
223744 218.5 0.00011715952455538
224256 219 0.000117373936723512
224768 219.5 0.000117584584346691
225280 220 0.000117796890009114
225792 220.5 0.000118007804611404
226304 221 0.0001182197855807
226816 221.5 0.000118431121041635
227328 222 0.000118641065440561
227840 222.5 0.000118852050099837
228352 223 0.000119061526147151
228864 223.5 0.000119273622302522
229376 224 0.000119482212466366
229888 224.5 0.000119692071916791
230400 225 0.00011989974042544
230912 225.5 0.00012010975358479
231424 226 0.000120318393815912
231936 226.5 0.000120526308976534
232448 227 0.000120733728183837
232960 227.5 0.000120940470277005
233472 228 0.000121149383888252
233984 228.5 0.000121355496500872
234496 229 0.000121563298550802
235008 229.5 0.000121768832800855
235520 230 0.000121977110748267
236032 230.5 0.000122182798669492
236544 231 0.000122389251368435
237056 231.5 0.000122593743377348
237568 232 0.000122800022616806
238080 232.5 0.00012300632707963
238592 233 0.000123211615767126
239104 233.5 0.000123416006134972
239616 234 0.000123619820481676
240128 234.5 0.00012382523284989
240640 235 0.000124028745380428
241152 235.5 0.000124232564169888
241664 236 0.000124433946842382
242176 236.5 0.000124637456657453
242688 237 0.000124839448663729
243200 237.5 0.000125042214092861
243712 238 0.000125243030206028
244224 238.5 0.000125444747083164
244736 239 0.00012564548942771
245248 239.5 0.000125845859985861
245760 240 0.000126045527629655
246272 240.5 0.000126244915758674
246784 241 0.000126445047718588
247296 241.5 0.000126644201301642
247808 242 0.000126842565506881
248320 242.5 0.000127039980260405
248832 243 0.000127238291322128
249344 243.5 0.0001274359698727
249856 244 0.00012763360751392
250368 244.5 0.000127830276933268
250880 245 0.000128027472904159
251392 245.5 0.000128224255606651
251904 246 0.000128421078069476
252416 246.5 0.000128616295186374
252928 247 0.000128811436517254
253440 247.5 0.000129006456459673
253952 248 0.000129202200915703
254464 248.5 0.000129396434111712
254976 249 0.000129590538308934
255488 249.5 0.00012978453922976
256000 250 0.000129978840043578
256512 250.5 0.000130172648991009
257024 251 0.000130365853892998
257536 251.5 0.000130559140967896
258048 252 0.000130751849453202
258560 252.5 0.000130945070957937
259072 253 0.000131137463512577
259584 253.5 0.000131331117431246
260096 254 0.000131524125955294
260608 254.5 0.000131717366470206
261120 255 0.000131909873097997
261632 255.5 0.000132102906515245
262144 256 0.000132295933631531
262656 256.5 0.000132488104878063
263168 257 0.000132680883419818
263680 257.5 0.000132873180458444
264192 258 0.000133066253880583
264704 258.5 0.000133258669144152
265216 259 0.000133450931891939
265728 259.5 0.000133643310154235
266240 260 0.000133835886973303
266752 260.5 0.000134028411925019
267264 261 0.000134219763801295
267776 261.5 0.00013441089722047
268288 262 0.000134603068465915
268800 262.5 0.000134795789878957
269312 263 0.000134987334743385
269824 263.5 0.000135177951384355
270336 264 0.000135370150364453
270848 264.5 0.000135563279742006
271360 265 0.000135755624589093
271872 265.5 0.000135945704964977
272384 266 0.000136135500356062
272896 266.5 0.000136327631031363
273408 267 0.000136519517453878
273920 267.5 0.000136709218539497
274432 268 0.000136897857719318
274944 268.5 0.000137088790124764
275456 269 0.000137280362523701
275968 269.5 0.000137470017764152
276480 270 0.000137657913437734
276992 270.5 0.000137846474036982
277504 271 0.000138037088444978
278016 271.5 0.000138226579304138
278528 272 0.000138414219178514
279040 272.5 0.000138600996204511
279552 273 0.000138789780524978
280064 273.5 0.000138978529846809
280576 274 0.000139165203821312
281088 274.5 0.000139350549011306
281600 275 0.000139536923222056
282112 275.5 0.000139724398931937
282624 276 0.000139910017278941
283136 276.5 0.000140093870911953
283648 277 0.000140277812568177
284160 277.5 0.000140463440645179
284672 278 0.000140648256941665
285184 278.5 0.000140831476346515
285696 279 0.00014101433319218
286208 279.5 0.000141199024171553
286720 280 0.000141384090500174
287232 280.5 0.000141567220920242
287744 281 0.000141749670136915
288256 281.5 0.000141933124275178
