# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
242176 236.5 1.05588003238489
242688 237 1.0558330734049
243200 237.5 1.05578852145995
243712 238 1.05574539514552
244224 238.5 1.0557036305713
244736 239 1.05566354033939
245248 239.5 1.05562448557121
245760 240 1.05558571627225
246272 240.5 1.0555476190984
246784 241 1.05550724105108
247296 241.5 1.05546268535426
247808 242 1.05541276353116
248320 242.5 1.05535553091551
248832 243 1.05528951546465
249344 243.5 1.05521468213163
249856 244 1.05513102764302
250368 244.5 1.05503852473401
250880 245 1.05493792548342
251392 245.5 1.05482841737355
251904 246 1.05470683674181
252416 246.5 1.05454863627738
252928 247 1.05438755452008
253440 247.5 1.05422263889238
253952 248 1.05405354877684
254464 248.5 1.0538809084754
254976 249 1.05370839484854
255488 249.5 1.05353642579275
256000 250 1.05336481858077
256512 250.5 1.05319357736204
257024 251 1.05302287301825
257536 251.5 1.05361963711819
258048 252 1.05519076344871
258560 252.5 1.0567499463461
259072 253 1.05825670281055
259584 253.5 1.05926318132715
260096 254 1.05982931296159
260608 254.5 1.06063476259346
261120 255 1.06210029239426
261632 255.5 1.06366144453116
262144 256 1.06531278773245
262656 256.5 1.06633653297455
263168 257 1.06932441786044
263680 257.5 1.07282735859866
264192 258 1.07594404420049
264704 258.5 1.07798911912445
265216 259 1.07906484654573
265728 259.5 1.07985762320663
266240 260 1.0801010318171
266752 260.5 1.0797357584925
267264 261 1.07647750280973
267776 261.5 1.07071533858371
268288 262 1.06761654640454
268800 262.5 1.06733460931751
269312 263 1.06682021115005
269824 263.5 1.06583264467586
270336 264 1.06434516748664
270848 264.5 1.06209781627289
271360 265 1.06046284735603
271872 265.5 1.05843574856514
272384 266 1.05546592743894
272896 266.5 1.050507061299
273408 267 1.04923205431873
273920 267.5 1.04903294622619
274432 268 1.04897693409632
274944 268.5 1.04952372052841
275456 269 1.05003266664544
275968 269.5 1.05029792443821
276480 270 1.05034312952233
276992 270.5 1.05051368881947
277504 271 1.0505298697206
278016 271.5 1.05034783117097
278528 272 1.04995496942402
279040 272.5 1.04912205126698
279552 273 1.04872078420912
280064 273.5 1.04934650929179
280576 274 1.04990229324141
281088 274.5 1.05043187766335
281600 275 1.05093437733781
282112 275.5 1.05138812548496
282624 276 1.05172205416865
283136 276.5 1.05154105889425
283648 277 1.05136545454966
284160 277.5 1.051313662148
284672 278 1.05140783787915
285184 278.5 1.05245923480726
285696 279 1.05383213412442
286208 279.5 1.05647678436742
286720 280 1.05901968891656
287232 280.5 1.06138629506966
287744 281 1.06338242168115
288256 281.5 1.06471989927962
288768 282 1.06562489244176
289280 282.5 1.06611156919619
289792 283 1.06672927233964
290304 283.5 1.06887407462013
290816 284 1.07034787346024
291328 284.5 1.0711817754791
291840 285 1.07464127068886
292352 285.5 1.07782292163663
292864 286 1.080396520027
293376 286.5 1.08222120207514
293888 287 1.08330956844323
294400 287.5 1.08349473390281
294912 288 1.08316841125634
295424 288.5 1.08226506223628
295936 289 1.08079408405539
296448 289.5 1.07646457865982
296960 290 1.07154341932469
297472 290.5 1.06911819114259
297984 291 1.06981394815383
298496 291.5 1.07047430052306
299008 292 1.0711556471261
299520 292.5 1.07149296202835
300032 293 1.06959292559848
300544 293.5 1.06707137860272
301056 294 1.06549042505676
301568 294.5 1.06339486237922
302080 295 1.06349715134537
302592 295.5 1.06354207652623
303104 296 1.06254324429907
303616 296.5 1.06037302008454
304128 297 1.05790869313653
304640 297.5 1.05289852883226
305152 298 1.05185176781796
305664 298.5 1.05065981633519
306176 299 1.0504352320375
306688 299.5 1.05142427915969
307200 300 1.05189285011156
307712 300.5 1.05211817024046
308224 301 1.05209326467821
308736 301.5 1.05200153996358
309248 302 1.0520418270611
309760 302.5 1.05191810058852
310272 303 1.0515830932499
310784 303.5 1.05165141719474
311296 304 1.05179325066126
311808 304.5 1.05193427195416
312320 305 1.05246395903155
312832 305.5 1.05401003554081
313344 306 1.05596225306814
313856 306.5 1.0585013451972
314368 307 1.06092365184087
314880 307.5 1.06318525917912
315392 308 1.06528788645013
315904 308.5 1.06725435696826
316416 309 1.06906521724672
316928 309.5 1.07028937078026
317440 310 1.07100527288257
317952 310.5 1.07076889719114
318464 311 1.07138426341466
318976 311.5 1.07312924281061
319488 312 1.07426640393764
320000 312.5 1.07712766885162
320512 313 1.07991013461238
321024 313.5 1.08230130054
321536 314 1.08410224528366
322048 314.5 1.08511971222079
322560 315 1.08533648172043
323072 315.5 1.08478608711782
323584 316 1.08359044970296
324096 316.5 1.0819863244381
324608 317 1.08012546439169
325120 317.5 1.07815613988158
325632 318 1.07697514055244
326144 318.5 1.07244879550304
326656 319 1.06775954511073
327168 319.5 1.06970688052881
327680 320 1.07160527018106
328192 320.5 1.07343569195974
328704 321 1.0747653159363
329216 321.5 1.07565809855364
329728 322 1.07613177118691
330240 322.5 1.07614262674791
330752 323 1.07594940730531
331264 323.5 1.07633844190995
331776 324 1.07626830807974
332288 324.5 1.07448869773403
332800 325 1.07309932084892
333312 325.5 1.07099365849908
333824 326 1.06826810900669
334336 326.5 1.06660710691625
334848 327 1.06609654144317
335360 327.5 1.06504706964462
335872 328 1.06352310505642
336384 328.5 1.06063351246697
336896 329 1.05681601486583
337408 329.5 1.05695591670942
337920 330 1.05709758388105
338432 330.5 1.0572410908211
338944 331 1.05738720226494
339456 331.5 1.0575409644089
339968 332 1.05770004111501
340480 332.5 1.05786084060834
340992 333 1.05801730505357
341504 333.5 1.05816862637639
342016 334 1.05831458215211
342528 334.5 1.05845656311214
343040 335 1.0585932095303
343552 335.5 1.05872407739473
344064 336 1.05884899502128
344576 336.5 1.05896748717126
345088 337 1.05907876788309
345600 337.5 1.05977855269133
346112 338 1.06203697821394
346624 338.5 1.06416342478998
347136 339 1.06614309796321
347648 339.5 1.06797437796165
348160 340 1.06963869874588
348672 340.5 1.07114109280573
349184 341 1.07203271403856
349696 341.5 1.07230039112847
350208 342 1.07215291594113
350720 342.5 1.07386327410878
351232 343 1.07499327691583
351744 343.5 1.07777775605132
352256 344 1.08031239722628
352768 344.5 1.08250727302195
353280 345 1.0842253344805
353792 345.5 1.08522412882111
354304 346 1.08543133322947
354816 346.5 1.08491547473563
355328 347 1.08373829521195
355840 347.5 1.08211438380702
356352 348 1.08026013764067
356864 348.5 1.0782585392005
357376 349 1.07622404567387
357888 349.5 1.07421695240837
358400 350 1.07236302177581
358912 350.5 1.07073818187789
359424 351 1.06930329022628
359936 351.5 1.06933442766612
360448 352 1.06871819504432
360960 352.5 1.06796296651381
361472 353 1.06858181671342
361984 353.5 1.06901233176024
362496 354 1.06978527144488
363008 354.5 1.07048149783071
363520 355 1.07096473390011
364032 355.5 1.07123260547138
364544 356 1.07130965078854
365056 356.5 1.07161529666323
365568 357 1.07228859302391
366080 357.5 1.07293577130614
366592 358 1.07357241804409
367104 358.5 1.07417724868157
367616 359 1.07474732598129
368128 359.5 1.07525780179739
368640 360 1.07524940796409
369152 360.5 1.07536316361478
369664 361 1.07546082472909
370176 361.5 1.0753847781153
370688 362 1.07516755854546
371200 362.5 1.07478388564763
371712 363 1.0742175282009
372224 363.5 1.07347815185434
372736 364 1.07259150002113
373248 364.5 1.07158730623318
373760 365 1.07048461941727
374272 365.5 1.06930956115095
374784 366 1.0680370098812
375296 366.5 1.06666193981222
375808 367 1.06508204654191
376320 367.5 1.06234071312161
376832 368 1.06125572328405
377344 368.5 1.0613351306171
377856 369 1.06140914642101
378368 369.5 1.06148151439293
378880 370 1.06155045573803
379392 370.5 1.06157345712817
379904 371 1.06157916803194
380416 371.5 1.06158108309879
380928 372 1.0629756673228
381440 372.5 1.06456209333863
381952 373 1.06596512155698
382464 373.5 1.06730625828674
382976 374 1.06859124965758
383488 374.5 1.06979139762822
384000 375 1.07087143838128
384512 375.5 1.07164468329198
385024 376 1.0719416222628
385536 376.5 1.07278028803074
386048 377 1.07339685586845
386560 377.5 1.07371025624139
387072 378 1.0756615798138
387584 378.5 1.07728596488763
388096 379 1.07827453160934
388608 379.5 1.07861472789853
389120 380 1.07837739905969
389632 380.5 1.07777156581424
390144 381 1.07690923857072
390656 381.5 1.07579781600131
391168 382 1.07446717448627
391680 382.5 1.07302818842822
392192 383 1.07159040592859
392704 383.5 1.07019590491161
393216 384 1.06881549623394
393728 384.5 1.0674533619464
394240 385 1.06611125034806
394752 385.5 1.06459424298877
395264 386 1.06104731690286
395776 386.5 1.06199762739775
396288 387 1.06291599433507
396800 387.5 1.06373463554433
397312 388 1.06442003313304
397824 388.5 1.06496979059169
398336 389 1.06521093172698
398848 389.5 1.06453431981995
399360 390 1.06380017574425
399872 390.5 1.06307108885748
400384 391 1.06239172034326
400896 391.5 1.06176900474409
401408 392 1.06126714920073
401920 392.5 1.06164882303016
402432 393 1.0623552808211
402944 393.5 1.06285707952282
403456 394 1.06329125967208
403968 394.5 1.06369391477095
404480 395 1.06484173207304
404992 395.5 1.06600275881744
405504 396 1.06796918883624
406016 396.5 1.06983717773183
406528 397 1.07159251820127
407040 397.5 1.07319060218235
407552 398 1.07460610181331
408064 398.5 1.07585063054751
408576 399 1.07694173236592
409088 399.5 1.07788207017357
409600 400 1.07867992560619
