# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
60416 59 -1.88804888983465e-06 -1.88804888983352e-06 -1.88804888985841e-06
60928 59.5 -1.81602167579437e-06 -1.81602167576479e-06 -1.8160216758146e-06
61440 60 -1.68989838701371e-06 -1.68989838696031e-06 -1.68989838697583e-06
61952 60.5 -1.54296725776601e-06 -1.54296725770973e-06 -1.5429672576844e-06
62464 61 -1.36977339344887e-06 -1.36977339340527e-06 -1.36977339337858e-06
62976 61.5 -1.16789273441578e-06 -1.16789273440128e-06 -1.16789273437973e-06
63488 62 -9.93167528648057e-07 -9.93167528671297e-07 -9.93167528643026e-07
64000 62.5 -8.9992568692847e-07 -8.99925686977822e-07 -8.99925686928924e-07
64512 63 -8.63396447553636e-07 -8.63396447596998e-07 -8.63396447536619e-07
65024 63.5 -8.16933587338519e-07 -8.16933587334299e-07 -8.16933587320964e-07
65536 64 -7.32106293986192e-07 -7.32106293961967e-07 -7.32106294003035e-07
66048 64.5 -6.21744979147489e-07 -6.2174497915695e-07 -6.2174497919382e-07
66560 65 -5.02228070781163e-07 -5.02228070781498e-07 -5.0222807080379e-07
67072 65.5 -4.94126183194539e-07 -4.94126183083778e-07 -4.94126183005831e-07
67584 66 -4.89049235727556e-07 -4.89049235643109e-07 -4.89049235745532e-07
68096 66.5 -4.94896554158056e-07 -4.94896554074265e-07 -4.94896554183294e-07
68608 67 -5.16966073978006e-07 -5.16966073925027e-07 -5.16966073996364e-07
69120 67.5 -5.50394538872813e-07 -5.50394538525053e-07 -5.5039453876905e-07
69632 68 -5.81635863006791e-07 -5.81635863162488e-07 -5.81635862987304e-07
70144 68.5 -5.96179139689617e-07 -5.96179139614485e-07 -5.96179139616184e-07
70656 69 -5.98991397187926e-07 -5.98991396990803e-07 -5.98991396996277e-07
71168 69.5 -5.90663115568565e-07 -5.90663115234459e-07 -5.90663115074589e-07
71680 70 -6.17131153354339e-07 -6.17131153481387e-07 -6.17131153570785e-07
72192 70.5 -6.48861473805533e-07 -6.48861473694538e-07 -6.48861473684284e-07
72704 71 -6.32848805877286e-07 -6.3284880590744e-07 -6.32848805950597e-07
73216 71.5 -6.49115286538137e-07 -6.49115286484464e-07 -6.49115286452993e-07
73728 72 -6.40013831491663e-07 -6.40013831521418e-07 -6.40013831505923e-07
74240 72.5 -6.54046257370575e-07 -6.54046257219127e-07 -6.54046257199991e-07
74752 73 -6.93531548208364e-07 -6.93531548091681e-07 -6.93531548015864e-07
75264 73.5 -6.90610664691887e-07 -6.90610664584524e-07 -6.90610664434218e-07
75776 74 -6.97737417597673e-07 -6.97737417383886e-07 -6.97737417393223e-07
76288 74.5 -7.06800452846051e-07 -7.06800452865452e-07 -7.06800452722168e-07
76800 75 -6.858602813091e-07 -6.85860281260675e-07 -6.85860281158834e-07
77312 75.5 -6.70769354952667e-07 -6.70769354966767e-07 -6.70769354852473e-07
77824 76 -6.71690555681831e-07 -6.71690555695423e-07 -6.71690555565877e-07
78336 76.5 -6.75006685124094e-07 -6.75006685200471e-07 -6.75006685089394e-07
78848 77 -6.80522056510489e-07 -6.80522056482516e-07 -6.80522056457681e-07
79360 77.5 -6.72182518057554e-07 -6.72182518020987e-07 -6.72182518051774e-07
79872 78 -6.6211198962901e-07 -6.62111989651186e-07 -6.62111989565707e-07
80384 78.5 -6.58574756933117e-07 -6.58574757007928e-07 -6.58574756950035e-07
80896 79 -6.52865292630476e-07 -6.52865292670557e-07 -6.52865292652308e-07
81408 79.5 -6.49056562078065e-07 -6.49056562136991e-07 -6.49056562150319e-07
81920 80 -6.30658765768704e-07 -6.30658765690541e-07 -6.30658765736806e-07
82432 80.5 -6.31535710325657e-07 -6.31535710185457e-07 -6.31535710162836e-07
82944 81 -6.36635528436222e-07 -6.36635528373178e-07 -6.3663552847286e-07
83456 81.5 -6.31034167470396e-07 -6.31034167481148e-07 -6.31034167412504e-07
83968 82 -6.40794897550386e-07 -6.40794897583976e-07 -6.40794897383682e-07
84480 82.5 -6.46835911131824e-07 -6.46835911112477e-07 -6.46835911171452e-07
